u_applications_impacted,dv_u_business_segments,dv_u_alert_generated_from_monitoring,u_root_cause_owner,dv_priority,dv_category,dv_contact_type,dv_short_description,dv_company,dv_close_code,dv_u_incident_cause_code,u_root_cause_breakdown,u_summary_impact_root_summary,u_alert_to_who,clean_date,year,application_category
"The following applications were affected and the time they were failed over to BDOC.
1. FHB: 05:15 CT 
2. D1 Flex: 05:15 CT
3. Ameris: 05:31
4. IDP Cloud1: 05:37 CT
5. Payment One: 05:37 CT",BSG,Other,external,Priority 2,Application,Email,Digital One / Applications hosted in Phoenix DC experienced degradation,FIS,Solved (Permanently),Security Incident,external,Applications hosted in Phoenix datacenter experienced degradation due to a spike in traffic volume from AWS website (www.yourbenefitaccount.com).,Alert went to the Environment Support team via tools Thousand Eyes and Tryambak.,2023-11-25 14:54:36,2023,Digital
Unspecified Applications,BSG,SnowCentral Event,FIS,Priority 4,Server,Other,BSG/ Orbograph GPU server is in locked state,FIS,Solved (workaround),Hardware failure,hardware,"Resources ran out on device Server 100.73.34.221 - LRK1WFIPORBAP19.PROD.LOCAL and it locked up, restart worked as a work around ",Orborgraph team,2023-12-15 22:31:43,2023,Unknown
Cash App,BSG,No Known Alert,FIS,Priority 3,Application,Self-service,- Cash App - Settlement issue caused by duplicate transactions.,FIS,Solved (Permanently),Configuration issue,configuration,Settlement issue due to duplicate transactions within the Cash App application. Root cause is under investigation.,Unknown,2023-12-22 17:32:44,2023,Other
"Mobile, Consumer eBanking (CeB) and On-line Banking (OLB)",BSG,Netcool,FIS,Priority 3,Application,Alert,Failures in Mobile on Horizon Core (CP1 LPAR) ,FIS,Solved (workaround),Undetermined,unknown,"Issue affected a subset (HZNCP1 banks only) of Horizon core banks for Mobile, Consumer eBanking (CeB), On-line Banking (OLB), EFT and external vendor and client connections. Root cause is under investigation.",App Team,2024-01-09 07:45:25,2024,Digital
DataNavigator,"BSG, MS",No Known Alert,FIS,Priority 2,Application,Self-service,DataNavigator - Transactions missing in ATM settlement file,FIS,Solved (Permanently),Coding/script,performance,DataNavigator transactions missing from the ATM Settlement files due to a file transmission issue.,Unknown,2024-01-19 15:33:12,2024,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Manual Monitoring,BDC2 and BDC4:  InvestEdge - unable to connect to sftp.investedge.com,FIS,Solved (Permanently),Security Incident,operational cadence,Clients could not transfer files due to anti-virus software being outdated.,Unknown,2024-01-19 16:52:31,2024,Unknown
EFT Processing Brown Deer,BSG,No Known Alert,FIS,Priority 3,Mainframe,Email,EFT Processing Brown Deer - Move to New A7 Switch Caused Minimal Timeouts,FIS,Solved (Permanently),Change induced,build/migration,Issue which affected EFT Processing in the Brown Deer Data Center due to the audit flag not being turned on for the A7x switch after change.,Unknown,2024-01-23 16:19:20,2024,Cards
"eZCard - Recovered
Mobile - Recovered
Horizon XE - Recovered
SMBC - Failed over to PHX and Recovered
BancPac - Recovered
D1 - Recovered
OPF Amex - Recovered
RTP - Recovered
MBP - Recovered
Transfund - Recovered
ImageCentre - Recovered
DS - MoveIT - Recovered
Cetergy Check - Recovered
Data Application - Recovered
P1C Infinity Connect - Recovered
DRC - Recovered",BSG,Other,FIS,Priority 3,Application,Other,Some Banking Solutions applications were impacted following an emergency network change.,FIS,Solved (workaround),Change induced,change deployment,Some Banking Solutions applications were impacted due to a network change.,App Team,2024-01-28 08:33:55,2024,Digital
Horizon,BSG,No Known Alert,FIS,Priority 2,Application,Self-service,Horizon / Overdraft Fees Not Posting,FIS,Solved (Permanently),Coding/script,code,Overdraft fees were not posting correctly for Horizon clients due to the application's logic error in validating the date of the transaction.,Unknown,2024-02-05 16:25:05,2024,Core Banking
Unspecified Applications,BSG,Spectrum,Vendor,Priority 5,Network,3rd party integration,Client EverTrust were unable to access Horizon on all 7 locations - request to re-route traffic,EverTrust Bank,Solved (workaround),Connectivity issue,external,Client EverTrust unable to access Horizon application due to tornado went past the Little Rock data center.,Alert went to Global NOC - Leveraged Team.,2023-04-01 11:22:39,2023,Unknown
EZBusiness,BSG,No Known Alert,FIS,Priority 5,Application,Service portal,eZBusiness Card Management/ clients are intermittently experiencing login issues to EzBusiness website,FIS,Solved (Permanently),Change induced,change validation,"EZBusiness some clients experienced intermittent access issues due to change release.
",Unknown,2023-04-05 18:39:07,2023,Other
Unspecified Applications,"BSG, CORP",No Known Alert,FIS,Priority 5,Application,Self-service,Nice InContact / Some users unable to access ,FIS,Solved (Permanently),Change induced,configuration,Internal FIS users from call centers were unable to access NICE due to an application upgrade.,Unknown,2023-04-16 03:50:15,2023,Unknown
Consumer eBanking (CeB) and Mobile,BSG,Other,FIS,Priority 3,Application,Phone,Miser Cohesion / 3 banks intermittently failing for CeB and Mobile,FIS,Solved (Permanently),Change induced,change deployment,Three Miser banks were intermittently failing for the Consumer eBanking (CeB) and Mobile applications due to a change made on Miser Core. ,Environmental Support observed intermittent failures for 3 banks.,2024-02-04 15:18:08,2024,Digital
Unspecified Applications,BSG,No Known Alert,FIS,Priority 3,Application,Self-service,Infinity Processing Platform  is not working after the IHS configuration for NBC PROD,FIS,Solved (workaround),Application issue,change deployment,National Bank of Canada was unable to access the Infinity Processing platform due to an application change.,Unknown,2024-02-19 21:55:29,2024,Unknown
FIS Output Solutions,BSG,Other,FIS,Priority 3,Server,Alert,FIS Output Solutions / File Transfer Application down,FIS,Solved (workaround),Connectivity issue,vendor circuit,Clients were unable to access the FIS Output Solutions for file transfer functionality due to maintenance activity at vendor Lumen causing the MPLS circuit to be unavailable. Canton and San Antonio connections were manually failed over to Verizon to resolve the issue.,Network Team,2024-02-20 10:02:29,2024,Other
EFT Cash Management ,BSG,Other,FIS,Priority 3,Transaction Processing,Self-service,"BSG / Pre-auths settling to BCFS, CAP1, and TDBK clients for Cirrus network",FIS,Solved (workaround),Coding/script,code,Cardholders for affected clients are experiencing debits posting for pre-auths. Root cause is under investigation.,Observed while checking recon files. ,2024-02-28 16:56:19,2024,Cards
"All applications accessed via eAccess, including but not limited to EBTEdge, Decision Solutions.",BSG,Other,FIS,Priority 3,Application,Self-service,EBT / ebtEDGE Proxy Error,FIS,Solved (workaround),Undetermined,code,"There was an issue that affected access to applications from eAccess, including ebtEDGE. The SiteMinder service on pdc1rrissmap01 was restarted to resolve the issue. Broadcom/SiteMinder case 33672318 has been opened.",Database and Application teams received an alert.,2024-02-29 00:15:10,2024,Security
ACH Processing Services-ACHPS,BSG,No Known Alert,FIS,Priority 3,Application,agent_workspace,ACH Tracker Team-  EPN FILE was not passed to ACH for date of 3/1/2024,FIS,Solved (Permanently),Process issue,unknown,"An Electronic Payment Network (EPN) from 1st March 2024 was not passed to ACH for processing. To address the EPN file was collected into the ACH tracker for clients and processing was completed. Six clients (Apple Bank, Arrow Financial, First Bank Puerto Rico, Oriental Financial Group, Provident Bank, and Valley National Bank) were impacted by this issue, and an SLA was missed for incoming receiving activity.  Root cause is under investigation. ",Unknown,2024-03-05 20:59:40,2024,Payments
"Worldpay Core Processing - RAFT
Integrated Payments - MercuryPay & Express
eCommerce (VAP)","MS, BSG",SnowCentral Event,external,Priority 2,Monitoring,Raft,Maestro debit transactions were failing for Merchant Solutions platforms ,FIS,No Action Taken,Transmission failure,external,Maestro debit transactions were failing due to an internal issue at Maestro.,"GTSC TP, Integrated Payments
 IST ",2024-01-24 21:10:04,2024,Other
GetPaid,BSG,Other,FIS,Priority 3,General Technical,Service portal,GetPaid / Clients Unable To Access the App,"Archrock Services, LP",Solved (Permanently),Application issue,unknown,Clients within the NA2 environment were unable to access the GetPaid application. Root cause is under investigation.,Application team,2024-01-31 01:10:05,2024,Other
Digital One,BSG,Other,FIS,Priority 4,Application,Email,D1 / Hancock Whitney Bank tellers were unable to login.,FIS,Solved (workaround),Application issue,performance,Hancock Whitney Bank tellers were unable to login to Digital One application due to database slowness. ,Digital One Service Delivery,2024-01-30 23:40:28,2024,Digital
Horizon,BSG,Other,FIS,Priority 3,Application,Self-service,Horizon - Three clients were unable to process eWire transactions. Root cause is under investigation.,FIS,Solved (Permanently),Undetermined,change deployment,Three clients were unable to process eWire transactions on Horizon. Affected clients were unable to connect to Horizon to process eWire transactions. A problem ticket has been opened for tracking purposes and root cause analysis.,eWire support team received the alert,2024-02-20 15:28:07,2024,Core Banking
Navigator,BSG,No Known Alert,FIS,Priority 5,Application,Chat,Navigator / Call center agents are unable to load customer details,FIS,Solved (Permanently),Change induced,change deployment,Internal users were unable to load card details in the Navigator application. Root cause was due to a logging mechanism added during the last release change. The logging mechanism was removed with an ECR to remediate the issue.,Unknown,2024-03-10 20:04:27,2024,Other
GetPaid,BSG,No Known Alert,external,Priority 3,General Technical,Self-service,Clients experiencing issues retrieving customer emails via GetPaid.,FIS,Solved (workaround),Undetermined,external,Clients experienced issues retrieving customer emails via GetPaid.  Root cause is under investigation.,Unknown,2023-12-22 16:34:46,2023,Other
FIS Chip Card Plug-In ,BSG,Other,FIS,Priority 4,Server,Phone,FIS Chip Card Plug-In Service Outage,FIS,No Action Taken,Undetermined,unknown,FIS Chip Card Plug was unavailable for clients.   Service recovered without intervention.  Root cause is being investigated.  ,Cardpro EMV support,2023-12-28 21:38:51,2023,Other
"Zena, Modern Banking Platform (MBP), Profile, AutoSuite Auto Finance, Default Manager, Systematics, Decision Solutions","BSG, CM",No Known Alert,FIS,Priority 2,Application,Self-service,ZENA / Agents are down,FIS,Solved (Permanently),Capacity issue,performance,Zena application was inaccessible due to the size of the database table.,Support teams,2023-12-30 06:22:43,2023,Core Banking
Unspecified Applications,BSG,Other,FIS,Priority 5,Server,Event monitor,VMWare ESXi host lrk1efisnexvh132.fnfis.com was in not responding state,FIS,Solved (workaround),Connectivity issue,performance,VMWare ESXi host lrk1efisnexvh132.fnfis.com was in not responding state.,Alert went to Windows Virtual Cloud Support team.,2024-01-14 10:12:45,2024,Unknown
GETPAID,BSG,Other,FIS,Priority 3,General Technical,Service portal,GETPAID / NA1 unavailable due to high CPU.,Sonova USA Inc.,Solved (Permanently),Capacity issue,hardware,"The Get Paid NA1 production environment had an outage due to high CPU usage, making the application unresponsive. Support teams restarted the application and disabled the resource manager. The root cause is still being investigated, and a database upgrade is planned for the weekend.
 ",Tryambak alerts,2024-09-12 18:58:51,2024,Other
Unspecified Applications,BSG,Other,external,Priority 5,Monitoring,Self-service,IST / Intuit Prod[Critical]: CA Response file first attempt failed | chase-sftp to FIS,FIS,Solved (Permanently),Transmission failure,external,"The acknowledgement file for the Canada settlement file that we sent were received late from Chase. Application team manually submitted the response file to Intuit as soon as we received them from Chase, ",IST team received the alert via their monitoring,2024-09-13 01:09:08,2024,Unknown
Digital One Business Service tool.,BSG,Other,FIS,Priority 3,Application,agent_workspace,BEB / Existing clients unable to add new accounts  ,FIS,Solved (Permanently),Change induced,operational cadence,"Following the September release, Business eBanking (BeB) bank users were unable to add accounts on Digital One. The issue was caused by a database script intended for UAT but inadvertently applied in Production. As a result, a field in the database was disabled. Teams enabled the impacted field in the database to mitigate the issue. ",BEB logs,2024-09-16 15:25:05,2024,Digital
EBT One Application,BSG,Other,FIS,Priority 3,Application,agent_workspace,EBT App OPA for Call Centers / Connectivity Issues,FIS,Solved (Permanently),Connectivity issue,unknown,EBT App OPA for Call Centers experienced connectivity issues. Agents were unable to service clients for cancelation or activation of EBT benefit cards.  Teams determined contention was occurring due to the VIP being active in both BDOC and Phoenix. Network support shut down the VIP on the NetScaler in Phoenix to mitigate the impact.   A problem ticket will track root cause.,EBT ASG received the alerts.  Call Center staff also reported an issue at 16:25 CT.,2024-09-21 00:31:30,2024,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Manual Monitoring,MoveIT Transfer / sftbdc.prod.local was not accessible,FIS,Solved (Permanently),Connectivity issue,performance,Access to the sftbdc.prod.local was intermittent.,Unknown,2024-01-14 14:03:41,2024,Unknown
Cash Manager.,BSG,No Known Alert,FIS,Priority 3,Application,Self-service,IFMS Transfers not made,FIS,Solved (Permanently),Batch error,configuration,Cash Manager deposits and withdrawals were affected for a subset of clients due to a scheduling issue. ,Unknown,2024-01-17 14:51:30,2024,Other
Unspecified Applications,BSG,Other,FIS,Priority 5,Application,Email,"CEB Mobile / Intermittent login and account inquiry failures for a single client, First Citizens National Bank. ",FIS,Solved (Permanently),Application issue,performance,"CTO Service Delivery team monitored intermittent login and account inquiry failures for a single client, First Citizens National Bank. Root cause is under investigation",CTO Service Delivery,2024-01-24 23:16:42,2024,Unknown
Control-M on BDOC system,BSG,No Known Alert,FIS,Priority 5,Application,Email,Control-M - No jobs generated for 06-Feb-2024,FIS,Solved (Permanently),Batch error,configuration,"An issue affected approximately 4,000 jobs from loading in Control-M on the BDOC system for a subset of applications. Root cause is under investigation.",Unknown,2024-02-07 19:19:52,2024,Other
CardPro Production,BSG,No Known Alert,FIS,Priority 3,Application,Self-service,hFIS/CardPro/Missing Cards from CardPro Production,FIS,Solved (workaround),Operations issue,configuration,Approximately 58 clients were unable to produce/issue cards in CardPro Production. Teams successfully corrected an Issuer Stock Code for known clients to end impact. Root cause is under investigation.,Unknown,2024-02-28 06:42:12,2024,Cards
Unspecified Applications,BSG,Other,FIS,Priority 4,General Technical,Self-service,D1 Vulnerability  - Proactive Actions,FIS,Solved (Permanently),Security Incident,external,Zero-day vulnerability detected via bug bounty for Digital One that allowed false bank account creations. There is no impact to clients. Root cause is under investigation.,Bug bounty,2024-03-06 12:44:05,2024,Unknown
"Worldpay Core Processing - RAFT, Information Switching Technology (IST)","MS, BSG",SnowCentral Event,external,Priority 4,Transaction Processing,Event monitor,Accel Network - Transaction authorization timeouts,FIS,Solved (Permanently),Application issue,external,"External issue at Fiserv, due to which 19000 debit card transactions on the Accel network were impacted.",GTSC Transaction processing team,2024-03-01 20:25:18,2024,Other
Unspecified Applications,"BSG, MS",Other,external,Priority 4,Monitoring,Self-service,IST / Chevron transaction declines on east and west regions,FIS,No Action Taken,Connectivity issue,external,Chervon experienced transaction reversals due to external internet issues.,Splunk alerts to GTSC,2024-03-05 19:52:40,2024,Unknown
Unspecified Applications,BSG,Other,Client,Priority 4,Application,Other,BNY Mellon bank failures,FIS,Solved (Permanently),Configuration issue,certificate,Mobile Banking Single Sign-On failures for BNY Mellon Bank due to incorrect Cert change on client end.,App Team.,2024-03-18 05:46:22,2024,Unknown
"Horizon, IBS, ACH Tracker","BSG, CM",No Known Alert,Client,Priority 3,Batch & Data Transmission,Email,Horizon / External Fed issue impacted subset of  FIS clients,FIS,Solved (Permanently),Data issue,external,Customers for a subset of FIS clients were incorrectly debited or credited from 2015 due to an external issue with a 3rd party processor that submitted transactions to Federal Reserve.,Unknown,2023-04-26 14:48:06,2023,Payments
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,General Technical,Self-service,ICUL / PaymentsOne Debit IVR Number is unreachable.,FIS,Solved (Permanently),Configuration issue,configuration,Single client ICUL PaymentsOne Debit IVR Number is unreachable due to the number being moved to a spare entry group.,Unknown,2023-06-02 22:28:30,2023,Unknown
"BSG
•	Bancpac – Branch access, online\digital (including mobile), ACH, OLB/Mobile – recovered
•	ImageCentre – recovered
•	eDelivery – recovered
•	Vicor - recovered 
•	Vision Remit - recovered
•	Compromise Manager - recovered
•	Mobile CeB - recovered
•	Flex - recovered
•	Modern Banking - recovered
•	Control-M - recovered
•	eZCard\Business- recovered
•	Decision Solution - recovered
•	Prepaid South- recovered
•	Worldpay PROD- recovered
•	Data Placement Manager - recovered
•	Falcon- recovered
•	Certegy Check- recovered
•	Ngage- recovered


CM:
•	Insurance Prophet SFTP - recovered 
•	Value Portfolio Investments and Investments BPO - recovered
•	Value Portfolio Reinsurance Manager - recovered
•	Aligne – recovered
•	Credit Assessment– recovered
•	Commercial Loan Origination – recovered
•	Dealer Finance – recovered
•	Market Map Energy– recovered
•	Insurance Prophet Licensing – recovered
•	Insurance Accounting Suite (EAS)– recovered

Corp:
•	xMatters - recovered at 08:22 CT

","BSG, CM",Other,FIS,Priority 2,Network,3rd party integration,Applications in Little Rock data center are impacted due to a possible network issue,FIS,Solved (Permanently),Connectivity issue,vendor bug,Network issue in Little Rock (LRK) data center impacted several applications due to a software bug CSCvz65993 in dxa151-lrd03ma switch.,NOC received alerts.,2023-06-08 19:01:18,2023,Digital
Unspecified Applications,BSG,Spectrum,Vendor,Priority 4,Network,Self-service,Base2000 / IST Switch connectivity issue,FIS,Solved (Permanently),Connectivity issue,external,IST Switch connectivity issue as the primary router was down due to scheduled maintenance at the Verizon side.,"The Network team received a Chasis Down alert for wdr01-hla01ma-spbr in Spectrum, and the same has been detected by Brazil CMI - local monitoring central team via internal monitorin.",2023-06-17 07:18:25,2023,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,IBS/Slowness in IBS BIC BO Application.,FIS,Solved (Permanently),Configuration issue,configuration,Business Objects webserves started to hit 100% CPU Utilization. ,Unknown,2023-02-28 18:44:08,2023,Unknown
Unspecified Applications,BSG,Other,FIS,Priority 5,Network,Self-service,Mobile/Brief Traffic Issue ,FIS,No Action Taken,Data issue,hardware,"Mb1 indexing issue caused a blip, teams will fix issue over weekend ",NOC and Application team for Mobile ,2023-03-17 21:58:29,2023,Unknown
"Online Banking (OLB, FLEX)",BSG,Spectrum,FIS,Priority 3,Application,Email,OLB Flex / Drop of traffic and sites are not loading.,FIS,Solved (Permanently),Undetermined,load,Online Banking (OLB) and FLEX within OLB was unavailable due to a communication failure within OLB. Root cause is under investigation.,Network team,2023-03-29 05:28:41,2023,Digital
NYCE Network,BSG,SnowCentral Event,FIS,Priority 3,Server,Phone,NYCE Network Transaction Timeouts,FIS,Solved (Permanently),Operations issue,performance,NYCE network transaction processing experienced issues.  The root cause is still under investigation.,Zabbix Alert: GTSC Transaction Processing,2023-04-03 23:18:22,2023,Other
Mobile for CeB clients,BSG,Other,fis vendor,Priority 3,Application,Email, Timeout failures in CeB,FIS,Solved (workaround),Hardware failure,hardware,Consumer eBanking experienced time-out errors for some clients. Root cause is under investigation,Mobile Banking Team,2023-04-05 18:02:32,2023,Digital
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Batch & Data Transmission,Self-service,Missing ATM Deposits Rockland Trust Company 0950,FIS,Solved (Permanently),Capacity issue,disk space,Rockland Trust and potentially other clients were unable to process ATM deposit files due to an issue with a disk space on the server.,Unknown,2023-07-02 01:09:34,2023,Unknown
"CEB, BEB, Mobile, D1",BSG,Other,FIS,Priority 3,Application,Walk up,"Mobile, CEB, BEB / Intermittent accessibility issues.",FIS,Solved (Permanently),Security Incident,human error,"Mobile, Digital One, Consumer eBanking and Business eBanking experienced intermittent accessibility issue due to a manual error.",Unknown,2023-07-13 21:13:25,2023,Digital
Falcon,BSG,No Known Alert,FIS,Priority 4,Network,Self-service,"Falcon / Single client, USAA Connectivity issues in Production",FIS,Solved (Permanently),Configuration issue,build/migration,Singe Client USAA was unable to sent transactions to Falcon due to missed network configurations during initial setup. ,Unknown,2023-07-19 06:48:16,2023,Other
Bankway,BSG,No Known Alert,FIS,Priority 3,Application,Self-service,Bankway Latency,FIS,Solved (Permanently),Undetermined,performance,Bankway Core Banking System clients experienced latency while accessing the application.  Root cause under investigation.,Unknown,2023-07-24 17:25:33,2023,Core Banking
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,General Technical,Self-service,Autoload/ job Failure for multiple Clients  (Investigating) ,FIS,Solved (Permanently),Change induced,change validation,Prime Compliance Suite-PMV PrimeIQ URLs were unavailable due to domain move behind Akamai.,Unknown,2023-08-18 20:29:43,2023,Unknown
Debit Card Processing -  Finastra USA Corporation ,BSG,Other,external,Priority 3,Network,3rd party integration,External/Finastra USA Corporation - Authorization host links down ,Finastra USA Corporation,Solved (workaround),Connectivity issue,vendor circuit,Finastra USA Corporation authorization host links were down due to Lumen fiber damage.,Pro Ops,2023-08-31 11:29:38,2023,Cards
Unspecified Applications,BSG,SnowCentral Event,FIS,Priority 4,Monitoring,Self-service,(PRD) XiTransfer – Chevron Error Clearing File Delayed ,FIS,Solved (Permanently),Process issue,operational cadence,Clearing file stuck in queue Paymetric team manually ran (No impact),GTSC TP/IST ,2023-09-08 20:16:05,2023,Unknown
Unspecified Applications,BSG,No Known Alert,tbd,Priority 4,Application,Self-service,Calls in queue and not routing to the agents,FIS,No Action Taken,Undetermined,unknown,Calls in queue and not routing to the agents.,Unknown,2023-09-16 13:57:36,2023,Unknown
Debit Disputes IVR,BSG,No Known Alert,FIS,Priority 4,Application,Self-service,MKE Debit Full Service IVR is unavailable,FIS,Solved (Permanently),Configuration issue,unknown,IVR support has been engaged and are reviewing logs for errors/failures in the IVR system. Access to CodeConnect Marketplace was restored to authenticate back to IVR.,Unknown,2023-09-27 20:27:58,2023,Cards
EFT Processing - Brown Deer,BSG,No Known Alert,FIS,Priority 3,Monitoring,Self-service,PRC Links / 5 Links for Jack Henry in stand-in,One Nevada Credit Union,Solved (Permanently),Configuration issue,configuration,"EFT Processing links for Jack Henry were in stand-in for five clients (Prospera CU, Class Act FCU, One Nevada CU, Family First FCU, Star Choice CU) due to outbound ports being denied. Worldpay network support permitted the ports on the Jack Henry routers to remediate. Root cause to be determined.",Unknown,2024-03-19 00:39:27,2024,Cards
Horizon,BSG,Other,FIS,Priority 3,Application,Alert,Horizon / Banks experienced an error regarding Device Agent or Brancherr error following release 2024.01 update.,FIS,Solved (Permanently),Change induced,change deployment,"A subset of Horizon XE banks with branch servers experienced an error regarding Device Agent or Brancherr error following a release update. The update removed the WAR (Device Agent) files from the client portal which caused the errors and impacted teller services. Teams restored the files, and banks deployed the newly restored files to mitigate the issue.",Bankerr error observed for the impacted clients by service devliery.,2024-03-25 15:22:34,2024,Core Banking
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Other,Integrated Payables Application Down after CR - CH24001548246,FIS,Solved (Permanently),Change induced,change deployment,Integrated Payables applications were unavailable due to a monthly rollout change. The network team implemented an emergency change to rollback the change and recover the applications.,Unknown,2024-03-31 07:41:30,2024,Unknown
Unspecified Applications,BSG,No Known Alert,fis vendor,Priority 4,Application,Self-service,Horizon IVR / Voice Response intermittently not functioning for clients,FIS,Solved (Permanently),Undetermined,external,"Clients reported intermittent connectivity issues with Horizon IVR Voice Response.  Teams rebooted SIP (session initiation protocol) servers to restore connectivity to Enghouse (Vendor).
",Unknown,2024-04-04 18:22:09,2024,Unknown
Horizon XE ,BSG,Other,FIS,Priority 3,Application,Self-service,Horizon XE - Clients was reporting slow response times,FIS,Solved (Permanently),Configuration issue,configuration,Horizon XE users experienced latency due to insufficient CPU on CBSERVX.,Service Delivery team,2023-10-11 15:40:08,2023,Core Banking
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,General Technical,Self-service,Bill Pay / UMB did not receive Bill Pay file from FIS ,FIS,Solved (workaround),Batch error,performance,UMB did not receive Bill Pay file from FIS due to job failure.,Unknown,2023-10-19 19:41:09,2023,Unknown
DigitalOne Business,BSG,Other,FIS,Priority 3,General Technical,Self-service,DigitalOne Business - Bank Administration Files (BAI) and Check Image (X937) files delayed,FIS,Solved (workaround),Undetermined,unknown,Delay generating Check Image (X937) and Bank Administration Files (BAI) files. Root cause is under investigation.,Support teams received alerts on the long running jobs.,2023-10-24 22:24:56,2023,Other
"Q2 On-line Banking 
",BSG,Other,FIS,Priority 3,Network,Self-service,Q2 OLB  / Subset of banks experiencing connection timeouts.,FIS,Solved (Permanently),Change induced,change deployment,A subset of Horizon Core clients experienced intermittent connectivity issues with Q2 On-line Banking (OLB) due to dedicated client CPE changes.,Support teams,2023-10-27 05:22:18,2023,Other
"Profile Web Client, Digital One",BSG,Other,FIS,Priority 3,Application,Self-service,Digital One - Profile / Clients intermittently unable to access website/receiving errors,FIS,Solved (Permanently),Security Incident,external,Clients were intermittently unable to access Digital One and Profile WebClient sites due to a security issue.,Alert went to the Environment support team via the Tryambak tool.,2023-11-03 14:20:04,2023,Digital
Unspecified Applications,BSG,Spectrum,FIS,Priority 5,Network,3rd party integration,PHX2 - 2 Dell blade switches are down.,FIS,Solved (Permanently),Hardware failure,hardware,2 Dell blade switches were down at PHX2 DC resulting in Impact for Falcon Application.,Global NOC,2024-04-21 13:45:53,2024,Unknown
Unspecified Applications,BSG,Other,FIS,Priority 5,Monitoring,Alert,hFIS/BSG/Chevron Prod us-east transaction decline with r09(Node Response),FIS,Solved (workaround),Hardware failure,unknown,Some transactions on the IST Switch for Chevron declined with a Do Not Honor due to unknown reason. PR24000154006 opened for further investigation. ,IST Transaction Processing team ,2024-04-30 02:38:34,2024,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,General Technical,Service portal,"P1D - APBATCH4 report is missing form P1D 5/15/2024 forward, they are sitting at ETG",FIS,Solved (Permanently),Coding/script,code,"IN24013920624 – P1D - APBATCH4 report is missing form P1D 5/15/2024 forward
 
Since 5/15 at 19:36 ET, APBATCH4 exceptions reports for a subset of clients are no longer showing in Payments 1 Debit.
 
EIM stood up a technical bridge call with P1D Apex UI, MoveIT Enterprise Transmission, ASG NB Offline, and ASG Connex.
 
MoveIt found not issues on their systems, the files are moving as expected.
 
ASG found that the files from 5/14 were being issued repeatedly. Jenny Kline found an error in the application coding was put into place in error, causing the files to be replaced over and over. She fixed this forward at 16:50 ET. Going forward the APBATCH4 files will process as expected. We now have to work through the backlog for those available.",Unknown,2024-05-20 22:53:06,2024,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Email,Client Capital One reported issues with Code Connect,"Capital One Bank (USA), National Association",Solved (workaround),Change induced,change deployment,Client Capital One reported issues with Code Connect caused by to scheduled change.,Unknown,2024-05-19 09:47:37,2024,Unknown
Unspecified Applications,BSG,Other,FIS,Priority 3,Monitoring,Self-service,Morgan Stanley down on mcdp prk086,"Morgan Stanley Private Bank, National Association",Solved by Client/Vendor,Connectivity issue,operational cadence,Morgan Stanley Bank's debit authorisation host was not responding. The root cause is under investigation.,Network team,2023-11-05 04:14:47,2023,Unknown
"Mobile, CeB, BeB, D1 Consumer",BSG,Other,tbd,Priority 4,Application,Alert,Packet loss on ThreatMetrix calls caused latency to client logins for Banking Solutions applications,FIS,Solved (Permanently),Access issue,performance,Packet loss on ThreatMetrix calls caused latency to client logins for Banking Solutions applications. The root cause is under investigation.,"CEB, BEB, ",2023-11-06 17:44:28,2023,Digital
Payments One UI,BSG,No Known Alert,FIS,Priority 3,General Technical,Self-service,Payments One Authentication Error,FIS,Solved (Permanently),Application issue,performance,Payments One authentication errors. Root cause is under investigation.,Unknown,2023-11-10 23:09:30,2023,Other
NetScalers ,"BSG, CM, MS",Other,Vendor,Priority 4,Security,3rd party integration,"Response queue poisoning at multiple FIS domains may lead to critical PII, token, session leaks and more Manual Device Entry ",FIS,Solved (Permanently),Security Incident,vendor bug,Incident was created to monitor emergency proactive changes to NetScalers and F5 appliances to improve request handling.,Security,2023-11-28 13:07:02,2023,Other
Base2000,BSG,Other,FIS,Priority 3,Application,Email,Base2000 region Latency / Region failure,FIS,Solved (Permanently),Application issue,external,"Base2000 experienced latency due to unresponsive region CICSPJ2. Clients may have experienced timeouts or connectivity issues. Visa applied a temporary fix to address problematic BIN 480725. Visa advised a permanent fix will be applied, Friday 15-Mar-2024. ",Application monitoring,2024-03-14 04:18:52,2024,Core Banking
Unspecified Applications,BSG,No Known Alert,Vendor,Priority 4,General Technical,Service portal,Recon Data/Cirrus Link/ Data received from MCRD contained incorrect information causing exceptions ,FIS,Solved (workaround),Transmission failure,external,Cirrus Link/MCRD Recon File Data Error resulted in files supplied to FIS having errors (token information in place of Card number). This issue was identified by MCRD with the resolution being a resend of the impacted files from MCRD after being updated with correct information. (Completed 3/22/2024),Unknown,2024-03-22 16:28:17,2024,Unknown
